id_municipio,municipio,id_estado,municipio_activo
16,Benjam&iacute;n Hill,26,1
15,Bavispe,26,1
14,Bavi&aacute;cora,26,1
13,Ban&aacute;michi,26,1
12,B&aacute;cum,26,1
11,Bacoachi,26,1
10,Bacerac,26,1
9,Bacanora,26,1
8,Bacad&eacute;huachi,26,1
7,Atil,26,1
6,Arizpe,26,1
5,Arivechi,26,1
4,Altar,26,1
3,Alamos,26,1
2,Agua Prieta,26,1
1,Aconchi,26,1
17,Caborca,26,1
18,Cajeme,26,1
19,Cananea,26,1
20,Carb&oacute;,26,1
21,La Colorada,26,1
22,Cucurpe,26,1
23,Cumpas,26,1
24,Divisaderos,26,1
25,Empalme,26,1
26,Etchojoa,26,1
27,Fronteras,26,1
28,Granados,26,1
29,Guaymas,26,1
30,Hermosillo,26,1
31,Huachinera,26,1
32,Hu&aacute;sabas,26,1
33,Huatabampo,26,1
34,Hu&eacute;pac,26,1
35,Imuris,26,1
36,Magdalena,26,1
37,Mazat&aacute;n,26,1
38,Moctezuma,26,1
39,Naco,26,1
40,N&aacute;cori Chico,26,1
41,Nacozari de Garc&iacute;a,26,1
42,Navojoa,26,1
43,Nogales,26,1
44,Onavas,26,1
45,Opodepe,26,1
46,Oquitoa,26,1
47,Pitiquito,26,1
48,Puerto Peñasco,26,1
49,Quiriego,26,1
50,Ray&oacute;n,26,1
51,Rosario,26,1
52,Sahuaripa,26,1
53,San Felipe de Jes&uacute;s,26,1
54,San Javier,26,1
55,San Luis R&iacute;o Colorado,26,1
56,San Miguel de Horcasitas,26,1
57,San Pedro de la Cueva,26,1
58,Santa Ana,26,1
59,Santa Cruz,26,1
60,S&aacute;ric,26,1
61,Soyopa,26,1
62,Suaqui Grande,26,1
63,Tepache,26,1
64,Trincheras,26,1
65,Tubutama,26,1
66,Ures,26,1
67,Villa Hidalgo,26,1
68,Villa Pesqueira,26,1
69,Y&eacute;cora,26,1
70,General Plutarco El&iacute;as Calles,26,1
71,Benito Ju&aacute;rez,26,1
72,San Ignacio R&iacute;o Muerto,26,1
